QB,Carson,Wentz,PHI,Eagles,Quarterback
RB,Charcandrick,West,KC,Chiefs,Running Back
RB,Terrance,West,BAL,Ravens,Running Back
WR,Markus,Wheaton,CHI,Bears,Wide Receiver
RB,James,White,NE,Patriots,Running Back
WR,Kevin,White,CHI,Bears,Wide Receiver
RB,Jamaal,Williams,GB,Packers,Running Back
RB,Joe,Williams,SF,49ers,Running Back
RB,Jonathan,Williams,BUF,Bills,Running Back
RB,Kerwynn,Williams,ARZ,Cardinals,Running Back
TE,Maxx,Williams,BAL,Ravens,Tight End
WR,Mike,Williams,LAC,Chargers,Wide Receiver
WR,Terrance,Williams,DAL,Cowboys,Wide Receiver
WR,Tyrell,Williams,LAC,Chargers,Wide Receiver
QB,Russell,Wilson,SEA,Seahawks,Quarterback
QB,Jameis,Winston,TB,Buccaneers,Quarterback
TE,Jason,Witten,DAL,Cowboys,Tight End
RB,Danny,Woodhead,BAL,Ravens,Running Back
WR,Robert,Woods,LAR,Rams,Wide Receiver
WR,Kendall,Wright,CHI,Bears,Wide Receiver
RB,T.J.,Yeldon,JAC,Jaguars,Running Back
RB,Zach,Zenner,DET,Lions,Running Back
K,Greg,Zuerlein,LAR,Rams,Kicker
